fdc_id,food_name,protein,fat,carbohydrates,calories,food_category,serving_size
320048,"MILK, 2% ",,,,,Dairy and Egg Products,
320049,"MILK, 2% ",,,,,Dairy and Egg Products,
320050,"MILK, 2% ",,,,,Dairy and Egg Products,
320051,"MILK, 2% ",,,,,Dairy and Egg Products,
320052,"MILK, 2% ",,,,,Dairy and Egg Products,
320053,"MILK, 2% ",,,,,Dairy and Egg Products,
320054,"MILK, 2% ",,,,,Dairy and Egg Products,
320055,"Milk, 2%",,,,,Dairy and Egg Products,
320056,"Milk, 2%",,,,,Dairy and Egg Products,
320057,"Milk, 2%",,,,,Dairy and Egg Products,
320058,"Milk, 2%",,,,,Dairy and Egg Products,
320059,"Milk, 2%",,,,,Dairy and Egg Products,
320060,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320061,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320064,"MILK, 2% ",,,,,Dairy and Egg Products,
320065,"MILK, 2% ",,,,,Dairy and Egg Products,
320066,"MILK, 2% ",,1.91,,,Dairy and Egg Products,
320067,"MILK, 2% ",,,,,Dairy and Egg Products,
320068,"MILK, 2% ",,,,,Dairy and Egg Products,
320069,"MILK, 2% ",,,,,Dairy and Egg Products,
320070,"MILK, 2% ",,,,,Dairy and Egg Products,
320071,"MILK, 2% ",,,,,Dairy and Egg Products,
320072,"MILK, 2% ",,,,,Dairy and Egg Products,
320073,"MILK, 2% ",,,,,Dairy and Egg Products,
320074,"MILK, 2% ",,,,,Dairy and Egg Products,
320075,"MILK, 2% ",,,,,Dairy and Egg Products,
320076,"MILK, 2% ",,,,,Dairy and Egg Products,
320077,"Milk, 2%",,,,,Dairy and Egg Products,
320078,"Milk, 2%",,,,,Dairy and Egg Products,
320079,"Milk, 2%",,,,,Dairy and Egg Products,
320080,"Milk, 2%",,,,,Dairy and Egg Products,
320081,"Milk, 2%",,,,,Dairy and Egg Products,
320082,"Milk, 2%",,,,,Dairy and Egg Products,
320083,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320084,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320087,"MILK, 2% ",,,,,Dairy and Egg Products,
320088,"MILK, 2% ",,,,,Dairy and Egg Products,
320089,"MILK, 2% ",,1.97,,,Dairy and Egg Products,
320090,"MILK, 2% ",,,,,Dairy and Egg Products,
320091,"MILK, 2% ",,,,,Dairy and Egg Products,
320092,"MILK, 2% ",,,,,Dairy and Egg Products,
320093,"MILK, 2% ",,,,,Dairy and Egg Products,
320094,"MILK, 2% ",,,,,Dairy and Egg Products,
320095,"MILK, 2% ",,,,,Dairy and Egg Products,
320096,"MILK, 2% ",,,,,Dairy and Egg Products,
320097,"Milk, 2%",,,,,Dairy and Egg Products,
320098,"Milk, 2%",,,,,Dairy and Egg Products,
320099,"Milk, 2%",,,,,Dairy and Egg Products,
320100,"Milk, 2%",,,,,Dairy and Egg Products,
320101,"Milk, 2%",,,,,Dairy and Egg Products,
320102,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320103,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320106,"MILK, 2% ",,,,,Dairy and Egg Products,
320107,"MILK, 2% ",,,,,Dairy and Egg Products,
320108,"MILK, 2% ",,1.87,,,Dairy and Egg Products,
320109,"MILK, 2% ",,,,,Dairy and Egg Products,
320110,"MILK, 2% ",,,,,Dairy and Egg Products,
320111,"MILK, 2% ",,,,,Dairy and Egg Products,
320112,"MILK, 2% ",,,,,Dairy and Egg Products,
320113,"MILK, 2% ",,,,,Dairy and Egg Products,
320114,"MILK, 2% ",,,,,Dairy and Egg Products,
320115,"MILK, 2% ",,,,,Dairy and Egg Products,
320116,"Milk, 2%",,,,,Dairy and Egg Products,
320117,"Milk, 2%",,,,,Dairy and Egg Products,
320118,"Milk, 2%",,,,,Dairy and Egg Products,
320119,"Milk, 2%",,,,,Dairy and Egg Products,
320120,"Milk, 2%",,,,,Dairy and Egg Products,
320121,"Milk, 2%",,,,,Dairy and Egg Products,
320122,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320123,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320126,"MILK, 2% ",,,,,Dairy and Egg Products,
320127,"MILK, 2% ",,,,,Dairy and Egg Products,
320128,"MILK, 2% ",,1.85,,,Dairy and Egg Products,
320129,"MILK, 2% ",,,,,Dairy and Egg Products,
320130,"MILK, 2% ",,,,,Dairy and Egg Products,
320131,"MILK, 2% ",,,,,Dairy and Egg Products,
320132,"MILK, 2% ",,,,,Dairy and Egg Products,
320133,"MILK, 2% ",,,,,Dairy and Egg Products,
320134,"MILK, 2% ",,,,,Dairy and Egg Products,
320135,"MILK, 2% ",,,,,Dairy and Egg Products,
320136,"Milk, 2%",,,,,Dairy and Egg Products,
320137,"Milk, 2%",,,,,Dairy and Egg Products,
320138,"Milk, 2%",,,,,Dairy and Egg Products,
320139,"Milk, 2%",,,,,Dairy and Egg Products,
320140,"Milk, 2%",,,,,Dairy and Egg Products,
320141,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320142,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320145,"MILK, 2% ",,,,,Dairy and Egg Products,
320146,"MILK, 2% ",,,,,Dairy and Egg Products,
320147,"MILK, 2% ",,2.06,,,Dairy and Egg Products,
320148,"MILK, 2% ",,,,,Dairy and Egg Products,
320149,"MILK, 2% ",,,,,Dairy and Egg Products,
320150,"MILK, 2% ",,,,,Dairy and Egg Products,
320151,"MILK, 2% ",,,,,Dairy and Egg Products,
320152,"MILK, 2% ",,,,,Dairy and Egg Products,
320153,"MILK, 2% ",,,,,Dairy and Egg Products,
320154,"MILK, 2% ",,,,,Dairy and Egg Products,
320155,"MILK, 2% ",,,,,Dairy and Egg Products,
320156,"MILK, 2% ",,,,,Dairy and Egg Products,
320157,"MILK, 2% ",,,,,Dairy and Egg Products,
320158,"Milk, 2%",,,,,Dairy and Egg Products,
320159,"Milk, 2%",,,,,Dairy and Egg Products,
320160,"Milk, 2%",,,,,Dairy and Egg Products,
320161,"Milk, 2%",,,,,Dairy and Egg Products,
320162,"Milk, 2%",,,,,Dairy and Egg Products,
320163,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320164,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320167,"MILK, 2% ",,1.9,,,Dairy and Egg Products,
320168,"MILK, 2% ",,,,,Dairy and Egg Products,
320169,"MILK, 2% ",,,,,Dairy and Egg Products,
320170,"MILK, 2% ",,,,,Dairy and Egg Products,
320171,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320174,"MILK, 2% ",,1.9,,,Dairy and Egg Products,
320175,"MILK, 2% ",,,,,Dairy and Egg Products,
320176,"MILK, 2% ",,,,,Dairy and Egg Products,
320177,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320178,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320181,"MILK, 2% ",,1.97,,,Dairy and Egg Products,
320182,"MILK, 2% ",,,,,Dairy and Egg Products,
320183,"MILK, 2% ",,,,,Dairy and Egg Products,
320184,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320187,"MILK, 2% ",,1.96,,,Dairy and Egg Products,
320188,"MILK, 2% ",,,,,Dairy and Egg Products,
320189,"MILK, 2% ",,,,,Dairy and Egg Products,
320190,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320193,"MILK, 2% ",,1.87,,,Dairy and Egg Products,
320194,"MILK, 2% ",,,,,Dairy and Egg Products,
320195,"MILK, 2% ",,,,,Dairy and Egg Products,
320196,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320199,"MILK, 2% ",,1.92,,,Dairy and Egg Products,
320200,"MILK, 2% ",,,,,Dairy and Egg Products,
320201,"MILK, 2% ",,,,,Dairy and Egg Products,
320202,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320205,"MILK, 2% ",,1.81,,,Dairy and Egg Products,
320206,"MILK, 2% ",,,,,Dairy and Egg Products,
320207,"MILK, 2% ",,,,,Dairy and Egg Products,
320208,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
